Date,Close_AVY,High_AVY,Low_AVY,Open_AVY,Volume_AVY
1973-02-21,2.048275947570801,2.060689741192442,2.048275947570801,2.048275947570801,22400.0
1973-02-22,2.0544838905334477,2.066897690476248,2.0544838905334477,2.0544838905334477,11200.0
1973-02-23,2.0420711040496826,2.054484910153328,2.03586420099786,2.054484910153328,52800.0
1973-02-26,2.0358633995056152,2.0358633995056152,2.0358633995056152,2.0358633995056152,9600.0
1973-02-27,2.0358633995056152,2.042070300113864,2.0358633995056152,2.0358633995056152,18400.0
1973-02-28,2.0358633995056152,2.042070300113864,2.0358633995056152,2.0358633995056152,29600.0
1973-03-01,2.0141305923461914,2.038996402128243,2.0141305923461914,2.038996402128243,24000.0
1973-03-02,2.0016984939575195,2.014131403857877,2.0016984939575195,2.014131403857877,36800.0
1973-03-05,1.9954816102981567,2.007914517527429,1.9892651566835209,2.0016980639127926,48000.0
1973-03-06,2.0203468799591064,2.0203468799591064,1.995481072205764,1.995481072205764,12800.0
1973-03-07,2.038996934890747,2.038996934890747,2.014131118611592,2.02034757268138,97600.0
1973-03-08,2.032780885696411,2.032780885696411,2.026564430388471,2.032780885696411,8000.0
1973-03-09,2.026564121246338,2.0389970299656404,2.026564121246338,2.0327805756059893,100800.0
1973-03-12,2.0141305923461914,2.026563497237217,2.0141305923461914,2.026563497237217,57600.0
1973-03-13,2.0016984939575195,2.0016984939575195,2.0016984939575195,2.0016984939575195,114400.0
1973-03-14,2.032780885696411,2.038997341004351,2.014131519772591,2.014131519772591,226400.0
1973-03-15,2.06386399269104,2.076296908309661,2.038998161453798,2.038998161453798,74400.0
1973-03-16,2.06386399269104,2.06386399269104,2.05143107707242,2.06386399269104,116000.0
1973-03-19,2.082510709762573,2.082510709762573,2.0576449102430203,2.063861360122909,53600.0
1973-03-20,2.088728189468384,2.101161095358077,2.070078830633845,2.082511736523537,40000.0
1973-03-21,2.1011595726013184,2.126025366359914,2.094943124161669,2.094943124161669,65600.0
1973-03-22,2.038996934890747,2.0949450215188468,2.038996934890747,2.0949450215188468,69600.0
1973-03-23,2.038996934890747,2.045213388960536,2.032780480820958,2.038996934890747,20000.0
1973-03-26,2.06386399269104,2.076296908309661,2.05143107707242,2.05143107707242,28800.0
1973-03-27,2.057645797729492,2.0638622502906085,2.051429345168376,2.0638622502906085,12000.0
1973-03-28,2.1135928630828857,2.1135928630828857,2.0514283671098594,2.057644816707162,38400.0
1973-03-29,2.200624942779541,2.200624942779541,2.1260274870920988,2.1260274870920988,516000.0
1973-03-30,2.175758123397827,2.1881910269601006,2.1633252198355537,2.1881910269601006,50400.0
