Date,Close_PAYC,High_PAYC,Low_PAYC,Open_PAYC,Volume_PAYC
2014-04-15,15.080095291137695,17.60490567113804,14.883611220227309,17.585256889284807,3531700.0
2014-04-16,15.34534740447998,15.807083475580937,14.942556742481369,15.08009540578317,266500.0
2014-04-17,15.964269638061523,16.25899386647059,15.433764715257544,15.669544472746985,262100.0
2014-04-21,15.816906929016112,16.298290816679582,15.728489289056409,16.298290816679582,78000.0
2014-04-22,15.699015617370604,16.39554857371679,15.482884656475743,15.915148452076282,96100.0
2014-04-23,15.787434577941896,15.895501004353733,15.522182581187948,15.541830426141154,56500.0
2014-04-24,15.47305965423584,16.01338797200232,15.47305965423584,15.993741066378815,42800.0
2014-04-25,15.030972480773926,15.47305971378676,14.98185146890464,15.47305971378676,71600.0
2014-04-28,14.706775665283203,15.384642656387191,14.25486402557874,15.158687304987666,197500.0
2014-04-29,15.01132583618164,15.178336738146356,14.74607383341183,14.74607383341183,68500.0
2014-04-30,15.139039039611816,15.237281070373452,14.795193805756972,14.90325929007042,53600.0
2014-05-01,15.3944673538208,15.620422709730938,15.021148953838226,15.021148953838226,39900.0
2014-05-02,15.522180557250977,15.773678748673186,15.414114144929917,15.414114144929917,22300.0
2014-05-05,15.404293060302734,15.708841690977028,15.402328369452103,15.414116514555882,13300.0
2014-05-06,15.040796279907228,15.355169244477272,14.981850880597674,15.355169244477272,31900.0
2014-05-07,14.785369873046877,15.021149629887889,14.687127839243718,14.991677394509129,92600.0
2014-05-08,14.91308307647705,15.058480489114416,14.91308307647705,14.981851933081469,18600.0
2014-05-09,14.254863739013672,14.903258483619023,13.871720964062604,14.854137470896262,76000.0
2014-05-12,13.842249870300291,14.608534546356289,13.842249870300291,14.470995886795276,111200.0
2014-05-13,13.626117706298828,14.610498966511042,13.434546775059411,14.313809117555753,90800.0
2014-05-14,13.82260036468506,14.03873226498509,13.665413868796096,13.90119361262954,105600.0
2014-05-15,14.038732528686523,14.058381309494433,13.370688971704588,13.753831765309894,110100.0
2014-05-16,13.56717300415039,14.421875292515615,13.331392319469469,14.03873249970137,119700.0
2014-05-19,13.007195472717283,13.606470194354952,12.869657749250653,13.606470194354952,202500.0
2014-05-20,13.753830909729004,14.0485560451757,13.134908406362554,13.262622662952968,141100.0
2014-05-21,13.753830909729004,13.999435033117022,13.62611665313859,13.999435033117022,47400.0
2014-05-22,15.109566688537598,15.335522045877935,13.601557430488812,13.665414094157253,85300.0
2014-05-23,14.274514198303224,15.080096518655864,14.058383201757534,15.080096518655864,352700.0
2014-05-27,13.78330421447754,14.5495898136334,13.518052227773934,14.3138091247902,68100.0
2014-05-28,13.01701831817627,13.83242391900394,12.889304063757972,13.83242391900394,244000.0
2014-05-29,13.242975234985352,13.576997026789188,13.193855154818706,13.21350299950427,64600.0
2014-05-30,13.115262031555176,13.28718418764418,13.007195605550104,13.17420650309841,76100.0
2014-06-02,13.301921844482422,13.58682264495066,12.943339980202762,13.252800822972954,47600.0
2014-06-03,13.78330421447754,13.861897465123455,13.193854834633166,13.49840344665973,84800.0
2014-06-04,14.048559188842772,14.189044434076134,13.351043284860411,13.753833987444978,73700.0
2014-06-05,13.920843124389648,14.176271662080673,12.781240032421046,12.781240032421046,67600.0
2014-06-06,14.195918083190918,14.24503909503764,13.64576537384268,14.07802821690201,42500.0
2014-06-09,14.38257884979248,14.416963279664776,13.94049064599026,14.195919177763663,104500.0
