Date,Close_FICO,High_FICO,Low_FICO,Open_FICO,Volume_FICO
2023-10-16,886.5999755859375,909.6099853515624,885.8499755859375,903.1799926757812,128000.0
2023-10-17,918.2899780273438,919.719970703125,881.5599975585938,881.760009765625,249800.0
2023-10-18,914.7000122070312,922.22998046875,908.0800170898438,915.3300170898438,256400.0
2023-10-19,919.260009765625,931.989990234375,901.8400268554688,907.8499755859376,294800.0
2023-10-20,912.0,927.8499755859376,899.0,924.7899780273438,223400.0
2023-10-23,927.1900024414062,940.0999755859376,903.030029296875,909.0700073242188,204100.0
2023-10-24,862.1199951171875,929.5800170898438,845.47998046875,927.1900024414062,554000.0
2023-10-25,825.0999755859375,859.2999877929688,824.6400146484375,845.1199951171875,446000.0
2023-10-26,829.719970703125,838.8099975585938,811.989990234375,832.2899780273438,313900.0
2023-10-27,848.0999755859375,849.0,823.489990234375,830.989990234375,235800.0
2023-10-30,851.2899780273438,859.22998046875,838.719970703125,851.02001953125,151300.0
2023-10-31,845.8699951171875,853.02001953125,831.5499877929688,853.02001953125,161500.0
2023-11-01,870.989990234375,872.6799926757812,838.4299926757812,849.22998046875,193900.0
2023-11-02,900.6900024414062,907.469970703125,879.6900024414062,879.6900024414062,191700.0
2023-11-03,930.4099731445312,932.25,910.8400268554688,910.8400268554688,171400.0
2023-11-06,927.760009765625,930.4099731445312,907.6400146484376,930.4099731445312,219600.0
2023-11-07,938.4000244140624,940.6099853515624,925.1300048828124,934.9400024414062,152000.0
2023-11-08,940.4299926757812,954.22998046875,930.0700073242188,940.0,284200.0
2023-11-09,962.7000122070312,987.02001953125,900.010009765625,901.260009765625,343300.0
2023-11-10,996.7000122070312,1002.739990234375,962.469970703125,962.469970703125,188300.0
2023-11-13,1012.27001953125,1014.0,991.0399780273438,998.0800170898438,165600.0
2023-11-14,1027.1500244140625,1031.68994140625,1006.7100219726562,1021.4600219726562,214400.0
2023-11-15,1020.9600219726562,1036.4100341796875,1014.8599853515624,1027.6400146484375,211000.0
2023-11-16,1034.06005859375,1046.449951171875,1021.0599975585938,1021.0599975585938,142600.0
2023-11-17,1042.27001953125,1043.469970703125,1028.5899658203125,1037.68994140625,101600.0
2023-11-20,1051.449951171875,1059.6800537109375,1037.550048828125,1045.8900146484375,109000.0
2023-11-21,1054.9000244140625,1064.31005859375,1049.300048828125,1053.7099609375,110700.0
2023-11-22,1065.1700439453125,1077.1400146484375,1057.699951171875,1063.0999755859375,100800.0
2023-11-24,1069.5400390625,1070.9599609375,1061.9599609375,1061.9599609375,36000.0
2023-11-27,1081.9599609375,1083.530029296875,1072.31005859375,1073.3599853515625,142600.0
2023-11-28,1073.31005859375,1089.72998046875,1067.3599853515625,1077.760009765625,161200.0
2023-11-29,1075.0999755859375,1105.56005859375,1071.6800537109375,1084.6700439453125,219900.0
2023-11-30,1087.5999755859375,1092.1500244140625,1070.3699951171875,1075.0,370500.0
2023-12-01,1127.7099609375,1130.469970703125,1083.719970703125,1084.969970703125,299800.0
2023-12-04,1122.4300537109375,1151.489990234375,1117.260009765625,1120.0,191100.0
2023-12-05,1131.0400390625,1131.68994140625,1110.719970703125,1115.1400146484375,156100.0
2023-12-06,1111.6099853515625,1140.510009765625,1108.1700439453125,1133.5799560546875,162000.0
2023-12-07,1118.06005859375,1120.489990234375,1099.739990234375,1110.2900390625,138400.0
2023-12-08,1134.3900146484375,1140.8499755859375,1112.9200439453125,1114.1199951171875,130100.0
2023-12-11,1145.8199462890625,1147.52001953125,1123.9300537109375,1131.81005859375,133100.0
2023-12-12,1159.219970703125,1159.6700439453125,1132.72998046875,1140.18994140625,160600.0
2023-12-13,1166.780029296875,1183.7900390625,1157.760009765625,1163.2900390625,236300.0
2023-12-14,1129.5899658203125,1185.4200439453125,1123.56005859375,1181.68994140625,423600.0
2023-12-15,1129.780029296875,1136.6300048828125,1121.530029296875,1127.1199951171875,467100.0
2023-12-18,1148.77001953125,1152.530029296875,1130.739990234375,1135.0,359600.0
2023-12-19,1152.510009765625,1156.3900146484375,1149.1600341796875,1150.260009765625,322300.0
2023-12-20,1155.1500244140625,1180.56005859375,1149.9200439453125,1152.510009765625,130000.0
2023-12-21,1165.4599609375,1172.199951171875,1154.5699462890625,1162.22998046875,135200.0
2023-12-22,1168.8800048828125,1175.6099853515625,1160.260009765625,1175.6099853515625,67100.0
2023-12-26,1164.6199951171875,1175.1700439453125,1160.5699462890625,1175.1700439453125,111400.0
2023-12-27,1170.6099853515625,1175.3499755859375,1162.3399658203125,1163.989990234375,115200.0
