Date,Close_SWK,High_SWK,Low_SWK,Open_SWK,Volume_SWK
1980-03-17,1.6639719009399414,1.7233994688306538,1.6639719009399414,1.6639719009399414,70800.0
1980-03-18,1.6507666110992432,1.6507666110992432,1.611148210014746,1.6507666110992432,100200.0
1980-03-19,1.6639719009399414,1.6771781278926243,1.6639719009399414,1.6639719009399414,45000.0
1980-03-20,1.6639719009399414,1.6771781278926243,1.6639719009399414,1.6639719009399414,79800.0
1980-03-21,1.6771780252456665,1.6771780252456665,1.6507655729568005,1.6639717991012333,288000.0
1980-03-24,1.6243544816970823,1.6705758499336565,1.6243544816970823,1.6705758499336565,72600.0
1980-03-25,1.6111475229263306,1.6375599805617729,1.6111475229263306,1.6243537517440516,82200.0
1980-03-26,1.591338038444519,1.6243534532905328,1.591338038444519,1.6111472268992817,62400.0
1980-03-27,1.452674388885498,1.5847358068803132,1.426262226192282,1.5847358068803132,517200.0
1980-03-28,1.4790866374969482,1.5583234162509934,1.4790866374969482,1.4790866374969482,299400.0
1980-03-31,1.531910419464111,1.531910419464111,1.485689082108799,1.485689082108799,85800.0
1980-04-01,1.571528673171997,1.571528673171997,1.5319103007200627,1.5319103007200627,36600.0
1980-04-02,1.6507666110992432,1.6507666110992432,1.5781330772872737,1.5781330772872737,133200.0
1980-04-03,1.6771780252456665,1.6903839491258772,1.6639717991012333,1.6639717991012333,60000.0
1980-04-07,1.6111475229263306,1.6375599805617729,1.6111475229263306,1.6375599805617729,239400.0
1980-04-08,1.597941756248474,1.6243539142621937,1.597941756248474,1.6111476841231769,29400.0
1980-04-09,1.584735631942749,1.5979418629637168,1.5319110101232127,1.5979418629637168,423600.0
1980-04-10,1.597941756248474,1.6111476841231769,1.597941756248474,1.597941756248474,49800.0
1980-04-11,1.571528673171997,1.6111470456239314,1.5385135643048478,1.5979411229827494,122400.0
1980-04-14,1.571528673171997,1.5847348980773732,1.558322750530815,1.571528673171997,176400.0
1980-04-15,1.531910419464111,1.5715287949870125,1.531910419464111,1.5715287949870125,141600.0
1980-04-16,1.5451178550720217,1.5583240913402756,1.5319116188037674,1.5319116188037674,105000.0
1980-04-17,1.5451178550720217,1.5451178550720217,1.5187056847999674,1.5451178550720217,97800.0
