Date,Close_CPT,High_CPT,Low_CPT,Open_CPT,Volume_CPT
1993-07-22,4.311357021331787,4.311357021331787,4.241063156853552,4.264494445012963,3159100.0
1993-07-23,4.358222961425781,4.428516880158455,4.311360348937332,4.311360348937332,609900.0
1993-07-26,4.264494895935059,4.358220058483082,4.264494895935059,4.358220058483082,218400.0
1993-07-27,4.264494895935059,4.287926186572064,4.264494895935059,4.287926186572064,183800.0
1993-07-28,4.311357021331787,4.334788309491199,4.264494445012963,4.264494445012963,192900.0
1993-07-29,4.287930488586426,4.334793116876988,4.287930488586426,4.311361802731707,114100.0
1993-07-30,4.287930488586426,4.287930488586426,4.264499174441145,4.287930488586426,57200.0
1993-08-02,4.264494895935059,4.311357477209071,4.264494895935059,4.287926186572064,79800.0
1993-08-03,4.311357021331787,4.311357021331787,4.264494445012963,4.287925733172376,155100.0
1993-08-04,4.334791660308838,4.334791660308838,4.287929047764958,4.311360354036898,81000.0
1993-08-05,4.287930488586426,4.334793116876988,4.287930488586426,4.311361802731707,94500.0
1993-08-06,4.311357021331787,4.311357021331787,4.287925733172376,4.287925733172376,137000.0
1993-08-09,4.287930488586426,4.311361802731707,4.287930488586426,4.287930488586426,119200.0
1993-08-10,4.217634677886963,4.287928589185079,4.217634677886963,4.287928589185079,75700.0
1993-08-11,4.194205284118652,4.241067912991487,4.170773969682236,4.241067912991487,37100.0
1993-08-12,4.170772552490234,4.194203858964898,4.170772552490234,4.194203858964898,21400.0
1993-08-13,4.194205284118652,4.217636598555069,4.123911340809402,4.147342655245819,49500.0
1993-08-16,4.194205284118652,4.194205284118652,4.194205284118652,4.194205284118652,9800.0
1993-08-17,4.217634677886963,4.217634677886963,4.170772070354886,4.194203374120924,29900.0
1993-08-18,4.147340297698975,4.194202899932861,4.147340297698975,4.194202899932861,61500.0
1993-08-19,4.194205284118652,4.217636598555069,4.147342655245819,4.147342655245819,56300.0
1993-08-20,4.170772552490234,4.170772552490234,4.14734124601557,4.170772552490234,37100.0
1993-08-23,4.264494895935059,4.264494895935059,4.217632314661047,4.217632314661047,51700.0
1993-08-24,4.405084133148193,4.405084133148193,4.311358938825891,4.311358938825891,87400.0
1993-08-25,4.405084133148193,4.428515431728769,4.358221535987043,4.405084133148193,42200.0
1993-08-26,4.381653785705566,4.405085089372442,4.358222482038692,4.405085089372442,25100.0
1993-08-27,4.405084133148193,4.405084133148193,4.358221535987043,4.381652834567618,22000.0
1993-08-30,4.405084133148193,4.428515431728769,4.381652834567618,4.405084133148193,38600.0
1993-08-31,4.498810291290283,4.522241594890754,4.4285163804888725,4.4285163804888725,79300.0
1993-09-01,4.592533588409424,4.639396176046255,4.522239706954178,4.522239706954178,69200.0
