Date,Close_AES,High_AES,Low_AES,Open_AES,Volume_AES
1991-06-26,2.070077419281006,2.1211902932162454,1.967851520787932,1.967851520787932,16683528.0
1991-06-27,2.0956339836120605,2.172303299174544,2.05729902458561,2.121190422132889,6160224.0
1991-06-28,2.082855224609375,2.146745993869274,2.0445202810612964,2.095633137465285,2384862.0
1991-07-01,2.0956339836120605,2.121190422132889,2.0700775450912325,2.121190422132889,1782930.0
1991-07-02,2.1211905479431152,2.1211905479431152,2.095634107906506,2.1211905479431152,1271226.0
1991-07-03,2.0956339836120605,2.121190422132889,2.0445211065704045,2.0956339836120605,1214988.0
1991-07-05,2.0189640522003174,2.095633500718587,2.0189640522003174,2.095633500718587,230514.0
1991-07-08,2.0189640522003174,2.095633500718587,2.0189640522003174,2.0189640522003174,550020.0
1991-07-09,2.172303438186645,2.19786002896552,2.018964646626473,2.0572991562382485,3100506.0
1991-07-10,2.351198434829712,2.351198434829712,2.197859105226151,2.197859105226151,1238472.0
1991-07-11,2.3895325660705566,2.453424085817284,2.3000853722848698,2.351198226588162,2259408.0
1991-07-12,2.351198434829712,2.427867723075116,2.325642005414577,2.427867723075116,733566.0
1991-07-15,2.351198434829712,2.376754864244847,2.325642005414577,2.376754864244847,404172.0
1991-07-16,2.4789814949035645,2.4789814949035645,2.3256427206330392,2.351199157907694,1534494.0
1991-07-17,2.606764554977417,2.657877431891182,2.427868582043616,2.427868582043616,3741990.0
1991-07-18,2.606764554977417,2.6834338703480647,2.555651075573236,2.606764554977417,3756204.0
1991-07-19,2.4789814949035645,2.632320871664477,2.4789814949035645,2.632320871664477,1457244.0
1991-07-22,2.4789814949035645,2.5556509573501254,2.4789814949035645,2.5300945200754708,499344.0
1991-07-23,2.3639769554138184,2.5045378051638503,2.338420519435225,2.4789813691852567,783006.0
1991-07-24,2.300086736679077,2.4278689482367577,2.300086736679077,2.351199621302149,524064.0
1991-07-25,2.274529457092285,2.3511989115039493,2.274529457092285,2.3511989115039493,211356.0
1991-07-26,2.300086736679077,2.300086736679077,2.248973701433378,2.2617516213438926,494400.0
1991-07-29,2.3256425857543945,2.3256425857543945,2.2489731277543776,2.3256425857543945,77868.0
1991-07-30,2.504537343978882,2.517315860860324,2.2745291612800203,2.325642174447857,630360.0
1991-07-31,2.555650234222412,2.5812072667560275,2.478980793469664,2.504537223513062,1389882.0
1991-08-01,2.581207752227783,2.581207752227783,2.530094280037384,2.581207752227783,320742.0
1991-08-02,2.555650234222412,2.6067636967994257,2.555650234222412,2.555650234222412,728004.0
1991-08-05,2.504537343978882,2.6067638221822405,2.504537343978882,2.530093925874081,746544.0
1991-08-06,2.5300939083099365,2.5300939083099365,2.4534244644017087,2.4789808954969312,140904.0
1991-08-07,2.5300939083099365,2.5300939083099365,2.504537326592154,2.5300939083099365,210738.0
1991-08-08,2.5300939083099365,2.5300939083099365,2.504537326592154,2.5300939083099365,448668.0
1991-08-09,2.4917593002319336,2.530093794528254,2.4789807840138685,2.530093794528254,353496.0
1991-08-12,2.4789814949035645,2.4789814949035645,2.427868469731658,2.45342505762891,132870.0
1991-08-13,2.4789814949035645,2.4789814949035645,2.427868469731658,2.427868469731658,131634.0
1991-08-14,2.504537343978882,2.504537343978882,2.4278678995384078,2.4789809127062443,122982.0
1991-08-15,2.504537343978882,2.504537343978882,2.4534244814336064,2.504537343978882,162534.0
