Date,Close_QCOM,High_QCOM,Low_QCOM,Open_QCOM,Volume_QCOM
1991-12-13,0.3425444066524505,0.3615746514664755,0.3187568910134106,0.3235141618384255,143667200.0
1991-12-16,0.3377872407436371,0.3520596384086493,0.3282721153812411,0.3425445130462534,22585600.0
1991-12-17,0.3377872407436371,0.3520596384086493,0.3330293876838575,0.3520596384086493,16176000.0
1991-12-18,0.347302496433258,0.347302496433258,0.3377873675002562,0.3377873675002562,10899200.0
1991-12-19,0.3330292105674743,0.3473021813987933,0.3330292105674743,0.3473021813987933,7299200.0
1991-12-20,0.3425444066524505,0.3473022582344482,0.333029284245438,0.333029284245438,5235200.0
1991-12-23,0.3401657938957214,0.347302281365532,0.3330293064259108,0.347302281365532,7894400.0
1991-12-24,0.366332471370697,0.366332471370697,0.3330292554474824,0.3354078906543027,7129600.0
1991-12-26,0.4186653196811676,0.4186653196811676,0.3568173241976224,0.3568173241976224,8672000.0
1991-12-27,0.4043929278850555,0.4234231696500725,0.394877807002547,0.4234231696500725,6396800.0
1991-12-30,0.4139080643653869,0.413908064365387,0.3948778218832292,0.4043929431243081,6627200.0
1991-12-31,0.470999002456665,0.4757562748263427,0.4091503963506547,0.4139082494775039,12572800.0
1992-01-02,0.52571040391922,0.5280896202521838,0.4662410299785576,0.4709988818874624,22121600.0
1992-01-03,0.5328468084335327,0.5423619300127029,0.5138165652751923,0.5280895380224138,6092800.0
1992-01-06,0.4995439350605011,0.5471195202683271,0.4614834668942402,0.5471195202683271,15987200.0
1992-01-07,0.4852711856365204,0.5090592792324541,0.4805139153714823,0.494786306923511,4940800.0
1992-01-08,0.4281806349754333,0.4900292392949066,0.4139082375214962,0.4900292392949066,36828800.0
1992-01-09,0.470999002456665,0.470999002456665,0.4376957728402353,0.4424536259670845,20809600.0
1992-01-10,0.4567258656024933,0.4805139614811082,0.4424534726809004,0.4757561100025971,7961600.0
1992-01-13,0.4947865009307861,0.5090594788362068,0.4519687287288084,0.4662411258770869,8499200.0
1992-01-14,0.4995439350605011,0.5090590521020663,0.4900288180189359,0.5090590521020663,3628800.0
1992-01-15,0.5043014883995056,0.5185744624119458,0.4947863659768735,0.5090593399893136,5910400.0
1992-01-16,0.4900290668010711,0.5138165811033046,0.4709988230565043,0.509059310545638,3654400.0
1992-01-17,0.4805142283439636,0.4947866291920098,0.4805142283439636,0.4805142283439636,1574400.0
1992-01-20,0.4757561981678009,0.4852713221311569,0.4519686786379498,0.4757561981678009,3350400.0
1992-01-21,0.4567258656024933,0.485271232202649,0.4472107434024413,0.485271232202649,3724800.0
