Date,Close_XYL,High_XYL,Low_XYL,Open_XYL,Volume_XYL
2023-10-16,89.78369903564453,89.96931858664301,88.47455310628978,88.75787578841657,1003200.0
2023-10-17,90.87789916992188,91.34684883931412,89.01188720324708,89.0216590067371,1265900.0
2023-10-18,88.25960540771484,90.2624000475998,88.21076130290139,90.16470438427156,1213500.0
2023-10-19,90.03771209716797,90.76066904121151,89.36359926408416,89.85208509589509,2138200.0
2023-10-20,89.69577026367188,91.27846711638884,89.63715434628693,90.25264383993668,2774600.0
2023-10-23,87.58550262451172,89.90092047195688,87.3998756412746,89.12911949194284,1896200.0
2023-10-24,87.3803482055664,88.81649774739805,87.29241687968779,88.39639963280581,1181100.0
2023-10-25,85.7390365600586,87.28264614669618,85.71949295242258,86.8039321114473,1411800.0
2023-10-26,86.64761352539062,87.64412127702818,85.79764555068377,85.88557687054396,1155500.0
2023-10-27,86.13957977294922,87.19471083581719,85.8171773725671,86.6476091530122,1241700.0
2023-10-30,87.21424865722656,87.3412597315251,85.5729361236812,86.93093346156415,1761600.0
2023-10-31,91.38592529296876,94.27776036409682,89.31474279645593,93.1053974135888,3449200.0
2023-11-01,92.30428314208984,92.53875424691388,90.62389074116314,91.13191271056556,2128900.0
2023-11-02,92.13819122314452,94.07259831302142,91.6985569750235,93.09562669168405,1666600.0
2023-11-03,94.6978530883789,95.6259730837963,93.57433430981476,93.78926924442548,1852500.0
2023-11-06,93.94558715820312,94.26798210259912,93.32031851324096,94.26798210259912,1324300.0
2023-11-07,94.5415496826172,95.10819506681536,93.15425163471352,93.60365772965264,1385100.0
2023-11-08,94.58061981201172,95.32312032761833,94.09213400374192,94.8150983666466,1062400.0
2023-11-09,94.59038543701172,95.69436060826224,94.53176952903247,95.33288590412168,1533100.0
2023-11-10,96.19261169433594,96.63225333560942,94.3852159345252,94.92255323373692,1322000.0
2023-11-13,96.2414779663086,97.032822606423,95.94838349397628,95.94838349397628,1261100.0
2023-11-14,98.8695297241211,99.34825120764194,97.67763055142832,97.84371394593848,1500400.0
2023-11-15,97.93163299560548,99.69995669440593,97.85348093090366,99.03561569537798,1297000.0
2023-11-16,98.92814636230467,99.172389262451,97.59946438921251,98.1270299479728,1314800.0
2023-11-17,98.8304443359375,99.72925636177348,98.69366146324816,99.60224529149794,1286600.0
2023-11-20,98.22274780273438,99.05589006916556,98.07572093734132,98.91866698895794,1147100.0
2023-11-21,99.01667022705078,100.58494662754252,98.46777797373632,99.72239311165283,1353600.0
2023-11-22,100.19287109375,100.49672107473856,99.0852753961674,99.31071754464304,1627700.0
