Date,Close_ES,High_ES,Low_ES,Open_ES,Volume_ES
2023-10-13,50.1186637878418,50.17331013931351,48.92558131176596,49.56310470772621,4951000.0
2023-10-16,51.18424224853516,51.40282069393638,49.04397383567758,50.31902750607111,3413700.0
2023-10-17,50.510284423828125,51.49389784909593,50.30992142827641,50.601361671116855,2103500.0
2023-10-18,49.62685394287109,50.73796848156747,49.44470293635385,50.4192068258434,3090000.0
2023-10-19,49.08951568603516,50.02758878068275,49.00754789796213,49.43559881412849,2376500.0
2023-10-20,48.72521209716797,49.9274039681681,48.6068134127423,49.12594156275409,2906000.0
2023-10-23,47.77803421020508,48.62503358442621,47.55034628109708,48.14233628647472,3189700.0
2023-10-24,49.20791244506836,49.54489307008403,48.19697751850527,48.470205803489215,2546500.0
2023-10-25,49.380958557128906,49.508463239950885,48.41556049909647,48.4702068521239,2372200.0
2023-10-26,49.32630920410156,50.4556427782888,49.29898776637054,49.61774945403856,2644200.0
2023-10-27,48.415557861328125,49.71793300646886,48.25162228541937,49.180589390821694,2296800.0
2023-10-30,48.62503433227539,49.15327200356641,47.76892895638962,48.670571223948926,2651700.0
2023-10-31,48.98933410644531,49.26255891785809,48.3062703407924,48.87093541427772,2919700.0
2023-11-01,48.351810455322266,48.99844336278517,47.38641235141493,48.33359500344754,3497500.0
2023-11-02,49.43560028076172,49.76347144278094,48.67967818987692,48.73432106738548,2797400.0
2023-11-03,50.48296356201172,51.284425976076406,50.027587743104334,50.4465326626811,4049300.0
2023-11-06,51.51211929321289,51.55765618503568,49.80901105025487,49.936519211297686,5270700.0
2023-11-07,51.32085418701172,52.4957246516009,50.66511536022856,51.33906963695595,3137900.0
2023-11-08,50.71976089477539,51.311750889151256,50.0002696925894,51.15692129362935,2249200.0
2023-11-09,49.399173736572266,51.12049389369026,49.37184882308775,50.97477376066022,2427100.0
2023-11-10,48.99843978881836,49.863654581426665,48.84361367053957,49.69971900075385,2398300.0
2023-11-13,48.29716110229492,48.9437974438687,47.80535782916824,48.9437974438687,2981600.0
2023-11-14,51.211570739746094,51.34818489262097,49.3991766938271,49.71793841821218,2972900.0
2023-11-15,52.140533447265625,52.47751059457375,51.03852475320261,51.1933508704754,3170600.0
2023-11-16,52.35000228881836,53.078602884237625,51.78533726164864,52.568584204564985,2821600.0
2023-11-17,53.28807830810547,53.64327437526956,52.18606962897712,52.486619345598605,5534200.0
2023-11-20,53.09682083129883,53.36093964526409,52.02213359965702,52.87824237951105,2658800.0
2023-11-21,53.57041549682617,53.76167252279557,52.81449338141479,53.19700743335359,2660800.0
2023-11-22,54.21704864501953,54.280800987321626,53.260760036245976,53.81631913994319,3809000.0
2023-11-24,53.97114944458008,54.28991465502216,53.688818613729566,54.107763602518446,946600.0
2023-11-27,53.77077865600586,54.14418669635693,53.37915516560817,54.034897470319066,2353100.0
2023-11-28,54.58134841918945,54.854573228135074,53.56130751114623,53.825422857723225,2586800.0
2023-11-29,54.3809814453125,55.40102581835647,54.14418753950274,54.7999263801831,2562000.0
2023-11-30,54.107757568359375,54.69974755441644,53.65238172500532,54.626885751843645,6350200.0
2023-12-01,55.3554801940918,55.36458965551207,53.916494497189,54.19882526486908,2103300.0
2023-12-04,55.27352142333984,55.71979130116264,54.16240667159874,54.74528722482204,2223500.0
