Date,Close_BMY,High_BMY,Low_BMY,Open_BMY,Volume_BMY
1972-06-01,0.294651031,0.296411961,0.293477098,0.293477098,3146956.0
1972-06-02,0.297585875,0.298759677,0.294651012,0.294651012,1136401.0
1972-06-05,0.298172653,0.299346605,0.29699887,0.297585827,480785.0
1972-06-06,0.296411753,0.29993342,0.296411753,0.298172511,1338129.0
1972-06-07,0.295824736,0.297585645,0.294650785,0.296411712,894327.0
1972-06-08,0.297585875,0.297585875,0.294064036,0.295824965,369835.0
1972-06-09,0.294063896,0.295824824,0.294063896,0.295824824,527855.0
1972-06-12,0.294651031,0.296998937,0.292890272,0.294064055,376559.0
1972-06-13,0.295237988,0.296998917,0.292890252,0.294651012,231987.0
1972-06-14,0.291129082,0.294650749,0.288781179,0.294650749,353024.0
1972-06-15,0.293476939,0.294063896,0.291129204,0.291129204,443801.0
1972-06-16,0.291129082,0.294063773,0.291129082,0.293476816,363110.0
1972-06-19,0.291716486,0.292303463,0.289368598,0.291129528,504320.0
1972-06-20,0.293476939,0.294063896,0.291716162,0.291716162,316040.0
1972-06-21,0.294063896,0.295237848,0.292303137,0.293476939,595097.0
1972-06-22,0.291129082,0.292889991,0.289955131,0.292889991,484147.0
1972-06-23,0.2876077,0.292890299,0.2876077,0.291129389,541303.0
1972-06-26,0.289955258,0.289955258,0.285846595,0.287607524,238711.0
1972-06-27,0.289368153,0.290542104,0.28819437,0.289955128,292505.0
1972-06-28,0.289955258,0.29112921,0.289368282,0.289368282,3573946.0
1972-06-29,0.291716486,0.291716486,0.289368598,0.289955575,369835.0
1972-06-30,0.293476939,0.295237849,0.291716162,0.291716162,648891.0
1972-07-03,0.292303264,0.294064024,0.291716288,0.293477066,302592.0
1972-07-05,0.293476939,0.294063896,0.291716162,0.292303138,2841002.0
1972-07-06,0.293476939,0.297585734,0.292890114,0.293476939,2067711.0
1972-07-07,0.293476939,0.294063896,0.292303138,0.293476939,527855.0
1972-07-10,0.293476939,0.296411801,0.293476939,0.293476939,282419.0
1972-07-11,0.291716486,0.294064224,0.291716486,0.293477266,699323.0
1972-07-12,0.291716486,0.293477266,0.291716486,0.291716486,480785.0
1972-07-13,0.292890191,0.293477017,0.291129281,0.291716239,242074.0
1972-07-14,0.293476939,0.294063896,0.291129204,0.292890114,228625.0
1972-07-17,0.290542483,0.292303394,0.290542483,0.292303394,706048.0
1972-07-18,0.290542483,0.292303394,0.287020793,0.290542483,1045623.0
1972-07-19,0.291716486,0.295825154,0.287020861,0.290542552,2111419.0
1972-07-20,0.294651031,0.296998937,0.294064055,0.294064055,847257.0
1972-07-21,0.296998888,0.296998888,0.294064007,0.294650983,1435630.0
1972-07-24,0.296998888,0.299346624,0.295824936,0.296998888,1603737.0
1972-07-25,0.30052045,0.303455161,0.296411806,0.296998782,2272801.0
1972-07-26,0.300756335,0.303115278,0.300756335,0.301935797,1667618.0
1972-07-27,0.303115368,0.304294849,0.301346146,0.301346146,1879432.0
1972-07-28,0.303705215,0.304884527,0.302525734,0.303115475,830447.0
1972-07-31,0.303705215,0.305474268,0.302525734,0.303705215,433715.0
1972-08-01,0.306653678,0.306653678,0.304294886,0.304294886,1852535.0
1972-08-02,0.318448186,0.320806998,0.309602299,0.309602299,4263183.0
1972-08-03,0.32493481,0.329062786,0.317268542,0.318447986,3698345.0
1972-08-04,0.327883899,0.328473622,0.324345452,0.324935212,1344853.0
1972-08-07,0.325524777,0.329063034,0.324935055,0.327883741,860706.0
1972-08-08,0.326114416,0.326704176,0.32316592,0.325524694,1045623.0
1972-08-09,0.330242395,0.331421877,0.32611438,0.32611438,2938503.0
1972-08-10,0.341447026,0.34557504,0.330242313,0.330242313,2736776.0
1972-08-11,0.33967793,0.341447133,0.335549914,0.341447133,864068.0
1972-08-14,0.331421912,0.338498461,0.33024243,0.338498461,793463.0
1972-08-15,0.329652786,0.330832268,0.32552477,0.330832268,1744947.0
1972-08-16,0.326114416,0.32847338,0.323755642,0.32847338,769928.0
