Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
2023-10-09,177.25381469726562,177.3132302836497,174.09475506108697,175.09495269037183,42390800.0
2023-10-10,176.6596221923828,177.9767230488949,176.22388776036024,176.3724418317021,43698000.0
2023-10-11,178.0559844970703,178.10550253076042,175.8773270117473,176.4714980836814,47551100.0
2023-10-12,178.9571533203125,180.57133234869772,177.3033387116547,178.32336180549302,56743100.0
2023-10-13,177.1151885986328,180.16529977566205,176.41206884050376,179.6602521369707,51427100.0
2023-10-16,176.98643493652344,177.3429435766639,174.79786506856496,175.03554253225204,52517000.0
2023-10-17,175.43165588378906,176.6893412361662,173.1044597256959,174.93650583601004,57549400.0
2023-10-18,174.1343536376953,175.8574811296678,173.41143884685883,173.87688106979198,54764400.0
2023-10-19,173.758056640625,176.11496052795673,173.4906713911534,174.33241738277906,59302900.0
2023-10-20,171.20306396484375,173.718419244541,170.96538653172513,173.60948564320893,64244000.0
2023-10-23,171.32192993164062,172.3221276665047,168.28170114730867,169.25220619662628,55980100.0
2023-10-24,171.7576446533203,171.98540943587548,169.78694209599936,171.3714282347356,43816600.0
2023-10-25,169.44033813476562,171.38131769667615,168.99469104064443,170.21277093543313,57157000.0
2023-10-26,165.27117919921875,169.71763198356828,164.06301189675906,168.71741923518283,70625300.0
2023-10-27,166.5883026123047,167.32113020792602,165.21178592419773,165.2910117543283,58499100.0
2023-10-30,168.63818359375,169.5096524459554,167.23195938000526,167.38051344932887,51131000.0
2023-10-31,169.11354064941406,169.24226937820893,166.27136928302133,167.70731641765212,44846000.0
2023-11-01,172.28248596191406,172.53995851269775,168.4698250558493,169.34129385969914,56934900.0
2023-11-02,175.84759521484375,176.0555497728662,173.75806140886317,173.8174769968696,77334800.0
2023-11-03,174.9364776611328,175.10484194774793,171.66849996074876,172.54986629941328,79829200.0
2023-11-06,177.49148559570312,177.68954259678722,174.50079012453784,174.66913933099835,63841300.0
2023-11-07,180.05638122558594,180.6703624855209,177.23401974281032,177.4419743130807,70530000.0
2023-11-08,181.1159820556641,181.6705476858897,179.82858892219454,180.5812266581694,49340300.0
2023-11-09,180.64065551757807,182.3340603263788,180.0464693782347,181.18532362684607,53763500.0
