Date,Close_L,High_L,Low_L,Open_L,Volume_L
1980-03-17,0.4824219346046448,0.4903957458848565,0.4824219346046448,0.4824219346046448,1044000.0
1980-03-18,0.4834185838699341,0.4834185838699341,0.4714574642116487,0.4824217882522268,855000.0
1980-03-19,0.4943828582763672,0.4963764920870488,0.4874058029579285,0.4874058029579285,1872000.0
1980-03-20,0.4923892617225647,0.4963765727674361,0.491392466042914,0.4943829386327119,720000.0
1980-03-21,0.4884025752544403,0.4923891151550421,0.486408941713153,0.4923891151550421,1170000.0
1980-03-24,0.4724538624286651,0.4864086030964237,0.4704609574567252,0.4864086030964237,3375000.0
1980-03-25,0.4654771685600281,0.4724541799928328,0.4624866969321569,0.4724541799928328,2466000.0
1980-03-26,0.4565063118934631,0.4634833200901375,0.4565063118934631,0.4634833200901375,1368000.0
1980-03-27,0.4276008307933807,0.4535159652559841,0.4216206158635075,0.4535159652559841,2439000.0
1980-03-28,0.4465388357639313,0.4465388357639313,0.4315879816212427,0.4315879816212427,720000.0
1980-03-31,0.4535157084465027,0.4545125458257784,0.4475354969030061,0.4475354969030061,468000.0
1980-04-01,0.4694644212722778,0.4694644212722778,0.4555096716490243,0.4555096716490243,882000.0
1980-04-02,0.4933858811855316,0.5003628917658034,0.4714572842502285,0.4714572842502285,1998000.0
1980-04-03,0.4864087998867035,0.4933858094525938,0.4864087998867035,0.4933858094525938,450000.0
1980-04-07,0.4864087998867035,0.4884024328466898,0.4824215339667307,0.4864087998867035,1656000.0
1980-04-08,0.489398717880249,0.489398717880249,0.4864089731692388,0.4864089731692388,495000.0
1980-04-09,0.4983687996864319,0.4983687996864319,0.4903949584347564,0.4903949584347564,315000.0
1980-04-10,0.507339596748352,0.507339596748352,0.5033530598318445,0.5033530598318445,288000.0
1980-04-11,0.5083365440368652,0.5093333388891161,0.5083365440368652,0.5083365440368652,396000.0
1980-04-14,0.5043500065803528,0.5063436392305993,0.503353211642925,0.5063436392305993,216000.0
