Date,Close_ECL,High_ECL,Low_ECL,Open_ECL,Volume_ECL
1973-02-21,1.408355474472046,1.408355474472046,1.408355474472046,1.408355474472046,54400.0
1973-02-22,1.408355474472046,1.408355474472046,1.408355474472046,1.408355474472046,56000.0
1973-02-23,1.3951534032821655,1.3951534032821653,1.3951534032821653,1.3951534032821653,113600.0
1973-02-26,1.3995543718338013,1.399554371833801,1.399554371833801,1.399554371833801,280000.0
1973-02-27,1.3907517194747925,1.3907517194747925,1.3907517194747925,1.3907517194747925,387200.0
1973-02-28,1.3995543718338013,1.399554371833801,1.399554371833801,1.399554371833801,144000.0
1973-03-01,1.3863520622253418,1.3863520622253418,1.3863520622253418,1.3863520622253418,80000.0
1973-03-02,1.3907517194747925,1.3907517194747925,1.3907517194747925,1.3907517194747925,422400.0
1973-03-05,1.3819500207901,1.3819500207901,1.3819500207901,1.3819500207901,281600.0
1973-03-06,1.3819500207901,1.3819500207901,1.3819500207901,1.3819500207901,184000.0
1973-03-07,1.3687459230422974,1.3687459230422974,1.3687459230422974,1.3687459230422974,91200.0
1973-03-08,1.3643453121185305,1.3643453121185305,1.3643453121185305,1.3643453121185305,38400.0
1973-03-09,1.3599447011947632,1.359944701194763,1.359944701194763,1.359944701194763,140800.0
1973-03-12,1.355542540550232,1.355542540550232,1.355542540550232,1.355542540550232,432000.0
1973-03-13,1.3599447011947632,1.359944701194763,1.359944701194763,1.359944701194763,88000.0
1973-03-14,1.3643453121185305,1.3643453121185305,1.3643453121185305,1.3643453121185305,48000.0
1973-03-15,1.3687459230422974,1.3687459230422974,1.3687459230422974,1.3687459230422974,40000.0
1973-03-16,1.37314772605896,1.37314772605896,1.37314772605896,1.37314772605896,137600.0
1973-03-19,1.3687459230422974,1.3687459230422974,1.3687459230422974,1.3687459230422974,155200.0
1973-03-20,1.3599447011947632,1.359944701194763,1.359944701194763,1.359944701194763,441600.0
1973-03-21,1.3599447011947632,1.359944701194763,1.359944701194763,1.359944701194763,384000.0
1973-03-22,1.3247357606887815,1.3247357606887815,1.3247357606887815,1.3247357606887815,225600.0
