Date,Close_SPG,High_SPG,Low_SPG,Open_SPG,Volume_SPG
2023-10-13,96.67352294921876,97.56772627813923,96.09545141424428,97.45030786643252,1499600.0
2023-10-16,97.84773254394533,98.38967373503044,96.75481585609607,97.54966247694384,1235800.0
2023-10-17,99.49163055419922,100.15099019309488,97.26966671683586,97.26966671683586,1470500.0
2023-10-18,98.04644012451172,99.06709608889048,97.87482278253924,98.91354735720756,1294700.0
2023-10-19,96.1948013305664,98.45289525851398,96.1315749762301,97.54062338209954,1571600.0
2023-10-20,95.87866973876952,97.0077167048616,95.8154433843146,96.57415963777368,1506700.0
2023-10-23,95.02962493896484,96.35738528378796,94.6863971394745,95.0657552690937,1560600.0
2023-10-24,95.71607971191406,96.91738725000768,95.52640066239748,95.8786627388076,1521500.0
2023-10-25,94.82188415527344,95.72512173503306,94.62317078514138,95.49931234009316,1465200.0
2023-10-26,96.0322036743164,96.81802272244276,94.91219118606364,94.91219118606364,1388500.0
2023-10-27,94.42445373535156,96.3483472244506,93.9818692680402,96.3483472244506,1744800.0
2023-10-30,95.13801574707033,96.36641940447446,94.15348320362388,95.35479083627229,1458400.0
2023-10-31,99.25676727294922,99.4464463190026,94.77671014731492,96.11350466527156,2384200.0
2023-11-01,101.60519409179688,101.92132586857916,99.3200041024275,100.25033771316784,2080800.0
2023-11-02,104.63103485107422,105.08265362765756,103.03230741407766,103.1948904492939,2049500.0
2023-11-03,106.48268127441406,108.22593013707882,106.30203650890566,106.60913398850116,1956400.0
2023-11-06,105.75106048583984,106.49171504656368,104.9471795683892,106.4375161042578,1225500.0
2023-11-07,104.08909606933594,105.5704051389922,103.37553755913537,105.5704051389922,1661200.0
2023-11-08,104.2697525024414,104.73943303023032,103.7729690576257,104.45943157469208,911300.0
2023-11-09,102.77940368652344,104.68523550623776,102.44520330555756,104.68523550623776,1204700.0
2023-11-10,104.17037963867188,104.3600586814706,102.42713103639208,103.69166487953864,906900.0
