Date,Close_CEG,High_CEG,Low_CEG,Open_CEG,Volume_CEG
2022-01-19,40.65599822998047,41.623998187837145,36.78399839855376,36.78399839855376,129900.0
2022-01-20,43.55999755859375,46.82215634182406,39.63959851684567,39.63959851684567,153400.0
2022-01-21,43.55999755859375,48.35159802856441,41.57559840833872,41.623997667100696,329500.0
2022-01-24,41.43039321899414,43.559993646924624,40.53983512133992,43.48255188575831,110000.0
2022-01-25,40.55725860595703,43.48255367963478,40.00743758802417,41.13999569710731,23500.0
2022-01-26,41.836952209472656,43.618071975206654,40.89799122919746,43.569669031485375,90500.0
2022-01-27,44.29566955566406,48.032149402524894,42.34999156781812,45.747669266560685,151600.0
2022-01-28,45.25399017333984,46.07678851762284,42.73719219689975,43.124389897245685,43600.0
2022-01-31,46.46399688720703,46.46399688720703,44.52799701690674,44.52799701690674,71300.0
2022-02-01,48.18703079223633,48.39999193840574,45.54439167551453,45.979992341485456,298800.0
2022-02-02,51.31366729736328,54.43062780609708,48.20638885441036,48.433869396120905,23860900.0
2022-02-03,51.90415573120117,54.759756291754734,48.69039622690497,50.5199155220621,8425500.0
2022-02-04,48.53550720214844,52.59142854533612,48.51614676390249,50.91678571700919,6757800.0
2022-02-07,44.59574890136719,48.43870915205909,44.52798921319198,48.39998827520867,9432500.0
2022-02-08,44.04399490356445,46.038076002170286,42.75655328007645,43.68583597894342,7277500.0
2022-02-09,45.79607009887695,45.931589474823525,42.475830617681765,43.31798937722549,4393100.0
2022-02-10,45.544395446777344,46.94799606774026,43.92783735463759,44.05367468540633,2450000.0
2022-02-11,46.55110931396485,47.344868833824734,44.58607095292465,45.263667841127415,3456800.0
2022-02-14,46.57047271728516,47.431991980810274,45.48631393451629,46.647910784026905,2155000.0
2022-02-15,46.46399688720703,46.89959759654994,45.689597677612255,46.17359764518733,2359800.0
2022-02-16,45.68959426879883,46.918954537834495,45.447594303066445,46.19295464063735,5855300.0
2022-02-17,43.8407096862793,45.57343012985305,43.74390749543311,44.83774824992602,3142600.0
2022-02-18,43.95687484741211,44.43119641816222,43.36639432382328,43.7051965008238,2018700.0
2022-02-22,42.1467170715332,44.21823629321979,42.098317814439206,43.95687587376028,2611100.0
2022-02-23,41.71110916137695,42.58231040896122,40.830229541097744,42.291907531349146,2791200.0
2022-02-24,43.042598724365234,43.30481716838462,41.00312687721336,41.90632250503042,2447900.0
2022-02-25,42.64441680908203,43.63501860406,42.47931836229368,43.02317555618405,2040700.0
2022-02-28,44.65475463867188,45.27630783567438,41.23620835040881,42.05199784766192,5534900.0
2022-03-01,46.41258239746094,46.66508696515683,44.04290647797422,44.30512489716737,4212900.0
2022-03-02,48.034454345703125,48.85024386706876,45.96584824542727,46.61653561003767,3517100.0
