Date,Close_WTW,High_WTW,Low_WTW,Open_WTW,Volume_WTW
2001-06-12,26.745325088500977,27.47034770346719,25.778625948391998,26.58420895184182,3894441.0
2001-06-13,26.66476058959961,26.90643473630532,26.584202540697703,26.66476058959961,758020.0
2001-06-14,26.10085678100586,26.58420748445758,25.77862452547399,26.58420748445758,501093.0
2001-06-15,26.50365257263184,26.50365257263184,25.7786275913046,26.020301811695617,382823.0
2001-06-18,27.454242706298828,28.034262784376917,26.66477299571882,27.38979577316187,358398.0
2001-06-19,27.953697204589844,27.953697204589844,26.98699810698264,27.3897884309215,232804.0
2001-06-20,28.678712844848636,29.8065277989986,28.03424848256486,28.03424848256486,176179.0
2001-06-21,28.678712844848636,29.000945025990514,28.59815479956316,28.67871284484863,79124.0
2001-06-22,28.163148880004883,28.64649962491061,27.95369928803831,28.64649962491061,109852.0
2001-06-25,28.437034606933597,29.000940842588097,26.5841975124872,27.79257033761417,142582.0
2001-06-26,27.38979148864746,28.324266072569543,27.35756918719671,28.324266072569543,109362.0
2001-06-27,27.873126983642575,28.114801072605854,26.986986337290976,27.389776485563104,96149.0
2001-06-28,28.195369720458984,28.75927614040357,28.03425360047482,28.195369720458984,102567.0
2001-06-29,28.59817123413086,28.92040360045066,27.792590318331367,28.195380776231115,222876.0
2001-07-02,28.195369720458984,28.678718080411485,27.79257942049857,28.598160020419403,46319.0
2001-07-03,28.03424644470215,28.43703664184992,27.792572326413485,28.43703664184992,54398.0
2001-07-05,28.630374908447266,28.74315522605404,28.034244074967575,28.195360140207548,74858.0
2001-07-06,28.56593132019043,28.75926969276472,28.437037525038715,28.614264753257363,60589.0
2001-07-09,27.550912857055664,28.35649606767705,27.389796678962316,28.35649606767705,117327.0
2001-07-10,27.228666305541992,27.72812805336691,26.986992164395776,27.631458860939105,148961.0
2001-07-11,27.792585372924805,28.59816614537943,27.164229586225044,27.47035074378866,151981.0
2001-07-12,27.18034553527832,28.195378329152817,27.14812090935029,27.79258790621127,198980.0
2001-07-13,27.792585372924805,27.792585372924805,27.164229586225044,27.164229586225044,112268.0
2001-07-16,27.953697204589844,28.00203065137015,27.7925810750143,27.873139139802078,48848.0
2001-07-17,27.953697204589844,28.195371398953164,27.228672301345952,27.953697204589844,64968.0
2001-07-18,27.631465911865234,27.87314011468125,27.38978938889521,27.87314011468125,80558.0
2001-07-19,27.38979148864746,27.5509076362096,27.067559193523184,27.38979148864746,128274.0
