Date,Close_SYF,High_SYF,Low_SYF,Open_SYF,Volume_SYF
2014-07-31,18.428651809692383,19.22989754054857,18.108153823000897,18.428651809692383,56477500.0
2014-08-01,18.428651809692383,18.428651809692383,18.16424077964004,18.34852693095577,6458900.0
2014-08-04,18.428651809692383,18.53281308227151,18.34852693095577,18.50877668842899,3455900.0
2014-08-05,18.428651809692383,18.43666445039154,18.16424077964004,18.420639168993223,4450200.0
2014-08-06,18.41263008117676,18.41263008117676,18.16424428459445,18.26840557727244,6993400.0
2014-08-07,18.372573852539062,18.42866083665144,18.268411000682622,18.340523274043026,3186900.0
2014-08-08,18.38859748840332,18.45269711137628,18.2684093581054,18.37257220059619,2855000.0
2014-08-11,18.372573852539062,18.372573852539062,18.268411000682622,18.348535918667032,1767500.0
2014-08-12,18.428651809692383,18.428651809692383,18.292439974316636,18.340514290256618,1549700.0
2014-08-13,18.57288360595703,18.612945296987505,18.332508875007548,18.42865907303845,1659100.0
2014-08-14,18.43667221069336,18.60493315143461,18.388597874518087,18.588909391546583,1391700.0
2014-08-15,18.428651809692383,18.49275140703068,18.428651809692383,18.444677091090693,1948100.0
2014-08-18,18.56487464904785,18.56487464904785,18.444688023832057,18.476737077370203,1073700.0
2014-08-19,19.558412551879883,19.57844339399013,18.58890573379516,18.58890573379516,2851800.0
2014-08-20,20.183385848999023,20.50388392240452,19.43822687317164,19.470275916384505,3544500.0
2014-08-21,20.34363555908203,20.447798395458705,19.9670504872525,20.40773517829249,2358000.0
2014-08-22,20.319599151611328,20.37568612737357,20.11127500716909,20.23146160212468,891600.0
2014-08-25,20.127296447753903,20.351644307930545,19.93499609866653,20.32760791048601,1185400.0
2014-08-26,20.07120704650879,20.111270254196008,19.983071046107128,20.03114536707668,951000.0
2014-08-27,20.40773582458496,20.46382433039392,19.991089050649904,20.03115074082936,1230600.0
2014-08-28,20.58401298522949,20.70419959602825,20.27953860773326,20.351650879863648,981700.0
2014-08-29,20.664134979248047,20.7843215730484,20.391711218231,20.68015873770076,981200.0
2014-09-02,20.664134979248047,20.752270999632064,20.447798193454133,20.59202271731674,1873200.0
