Date,Close_COF,High_COF,Low_COF,Open_COF,Volume_COF
1994-11-16,3.740105867385864,3.7693256691441337,3.740105867385864,3.740105867385864,8343900.0
1994-11-17,3.79854679107666,3.7985467910766606,3.710888024119378,3.740107167249594,4872000.0
1994-11-18,3.856985330581665,3.8862051393471537,3.798546381833934,3.827765521816177,1468800.0
1994-11-21,3.769328355789185,3.886206977346161,3.769328355789185,3.886206977346161,348600.0
1994-11-22,3.5940101146698,3.7693276812390586,3.5940101146698,3.740107863883035,709800.0
1994-11-23,3.564788818359375,3.623228428826082,3.535569681909186,3.564788818359375,906600.0
1994-11-25,3.6232285499572754,3.6232285499572754,3.564788937536825,3.564788937536825,132600.0
1994-11-28,3.564788818359375,3.652447565276271,3.564788818359375,3.652447565276271,280500.0
1994-11-29,3.5940101146698,3.5940101146698,3.564790297313776,3.564790297313776,187500.0
1994-11-30,3.564788818359375,3.5940086235927287,3.564788818359375,3.564788818359375,130800.0
1994-12-01,3.4479122161865234,3.5940099590747665,3.4479122161865234,3.5940099590747665,794400.0
1994-12-02,3.4479122161865234,3.4479122161865234,3.4186924000955097,3.4479122161865234,54600.0
1994-12-05,3.4479122161865234,3.4479122161865234,3.4186924000955097,3.4479122161865234,19800.0
1994-12-06,3.4186930656433105,3.4479128874228104,3.4186930656433105,3.4479128874228104,91200.0
1994-12-07,3.389471530914306,3.4479111449394675,3.389471530914306,3.4479111449394675,77700.0
1994-12-08,3.3602545261383057,3.418693508483654,3.3602545261383057,3.389473682919165,169200.0
1994-12-09,3.272594451904297,3.331033411636801,3.243374637646359,3.331033411636801,272100.0
1994-12-12,3.331033945083618,3.4186927331121346,3.301814126146287,3.3310339450836186,284400.0
1994-12-13,3.301813125610352,3.3310329356933144,3.301813125610352,3.3310329356933144,146100.0
1994-12-14,3.3602545261383057,3.389473682919165,3.331034700573817,3.331034700573817,442200.0
1994-12-15,3.389471530914306,3.4186913379268877,3.360252392684932,3.360252392684932,274200.0
1994-12-16,3.5940101146698,3.5940101146698,3.418692548100541,3.418692548100541,442500.0
1994-12-19,3.535572290420532,3.564791448428336,3.5063524636290704,3.564791448428336,47400.0
1994-12-20,3.535572290420532,3.594011275219797,3.535572290420532,3.535572290420532,128400.0
1994-12-21,3.6232285499572754,3.6232285499572754,3.564788937536825,3.564788937536825,96600.0
1994-12-22,3.6524484157562256,3.6524484157562256,3.564789648427809,3.6232292725023,248400.0
1994-12-23,3.740105867385864,3.740105867385864,3.6816669326524094,3.6816669326524094,189600.0
1994-12-27,3.769328355789185,3.798548178374319,3.7108893794024778,3.7401085332040505,113700.0
1994-12-28,3.769328355789185,3.769328355789185,3.7401085332040505,3.7401085332040505,62100.0
1994-12-29,3.740105867385864,3.7693256691441337,3.740105867385864,3.7693256691441337,190800.0
1994-12-30,3.740105867385864,3.740105867385864,3.740105867385864,3.740105867385864,15900.0
1995-01-03,3.740105867385864,3.7693256691441337,3.6816669326524094,3.7693256691441337,93300.0
1995-01-04,3.769328355789185,3.769328355789185,3.7108893794024778,3.7401085332040505,45300.0
1995-01-05,3.769328355789185,3.798548178374319,3.7108893794024778,3.769328355789185,54300.0
1995-01-06,3.6816697120666495,3.710889535883932,3.6524498882493694,3.710889535883932,294000.0
1995-01-09,3.6816697120666495,3.710889535883932,3.6816697120666495,3.710889535883932,24000.0
