Date,Close_BLK,High_BLK,Low_BLK,Open_BLK,Volume_BLK
2023-10-13,599.6302490234375,607.6073938991525,592.3123511158224,600.117483028872,1263400.0
2023-10-16,607.0723266601562,612.9667728144851,600.3562417443336,602.352932973475,695400.0
2023-10-17,607.6932983398438,611.2949579714773,601.5600162463103,603.1076663230947,578500.0
2023-10-18,589.150146484375,606.6424646686625,587.9655311584753,606.6424646686625,664500.0
2023-10-19,594.7101440429688,601.387977385294,591.461956901692,597.7099328569227,1040800.0
2023-10-20,587.3731689453125,598.1112079144061,585.7395124921038,595.4171354188641,850300.0
2023-10-23,587.277587890625,591.8059013289028,583.1887529275507,584.1345325305492,469500.0
2023-10-24,585.0421142578125,592.7134829883363,583.4849015664223,589.7041895789918,657200.0
2023-10-25,581.4979248046875,584.278004414599,576.539694395073,581.0871344852146,562000.0
2023-10-26,579.9597778320312,590.2965906677598,579.4056628559888,580.0744142671464,856400.0
2023-10-27,571.3712158203125,581.7748505488619,569.556041882829,579.9597349208528,543000.0
2023-10-30,580.007568359375,583.4181482839344,573.4539324146839,575.9187325376267,528100.0
2023-10-31,584.9371337890625,585.5007532106586,577.4185346706208,581.7558269379496,508900.0
2023-11-01,588.691650390625,590.3730042891316,580.5329877417942,587.0484308930071,537100.0
2023-11-02,615.7086181640625,616.3296140520044,595.9139514922316,595.9139514922316,1174000.0
2023-11-03,628.5866088867188,632.5894958620257,625.0423259123555,625.5773153222295,894200.0
2023-11-06,624.0487670898438,630.7744152547161,621.3165016776022,627.2969547430583,469400.0
2023-11-07,619.6256103515625,624.3163163145266,618.0205836583367,623.6666904194009,440800.0
2023-11-08,625.7015991210938,626.3798549965466,619.4727471919875,619.4727471919875,482200.0
2023-11-09,622.7113647460938,631.099241701768,621.5745048215553,627.4020708357227,437100.0
2023-11-10,635.302734375,635.7326501428633,624.6793309100589,627.2587672077624,522700.0
2023-11-13,631.9113159179688,634.7008997250023,628.7491345371609,631.3094454709421,356400.0
2023-11-14,666.2080688476562,667.8512882680832,642.9455023035554,642.9455023035554,1011000.0
2023-11-15,677.18505859375,679.5542895279735,666.5425282813703,666.9915113044437,747400.0
2023-11-16,682.9743041992188,683.1653260313932,677.0989251230393,677.6626027944773,558900.0
2023-11-17,684.8468017578125,688.6491045094116,681.7801896902743,687.6937620216845,715600.0
2023-11-20,688.7254028320312,689.4323468540355,680.3088389118606,682.48704749698,668300.0
2023-11-21,692.2794189453125,694.1518529698485,686.6333119885418,687.6555354839373,642900.0
