Date,Close_ZBH,High_ZBH,Low_ZBH,Open_ZBH,Volume_ZBH
2023-10-16,103.203369140625,103.57668656735171,101.85744914946125,103.2328405828297,1284400.0
2023-10-17,104.71627807617188,106.121140772021,102.26022493624538,102.5353091839518,1455000.0
2023-10-18,104.32332611083984,106.19974700179203,103.73386730147506,104.71628865670954,1397500.0
2023-10-19,102.9675750732422,105.4039832192704,102.8791607531017,104.0777159502046,1412200.0
2023-10-20,102.72198486328124,103.76335670163188,101.87710181295944,102.23077413613046,1294000.0
2023-10-23,103.31143188476562,104.45103674352428,102.6925016425522,102.6925016425522,1698200.0
2023-10-24,102.99705505371094,103.67492821211574,102.33883452048676,103.10512200636332,1542000.0
2023-10-25,101.8181610107422,102.90864944698669,101.40554579034723,102.85952537515256,1698500.0
2023-10-26,101.30729675292967,102.54514231161129,101.16975835752062,101.70025931393822,1197700.0
2023-10-27,101.37606048583984,102.96757825986082,100.90449494465732,102.17181937285034,1534500.0
2023-10-30,101.59220123291016,102.27006690653108,100.5311843151376,101.93604722609186,1309800.0
2023-10-31,102.57461547851562,103.32125029864991,101.6707821513173,102.17181913227898,1382000.0
2023-11-01,103.22300720214844,103.36054558653932,101.6904323502044,102.68267248112724,1503100.0
2023-11-02,108.26283264160156,108.87193659304786,103.9008868287703,103.99912746731832,3030300.0
2023-11-03,106.8383331298828,109.35332965380672,105.88538312019202,108.7442331492644,2140100.0
2023-11-06,107.378662109375,107.51620050586946,105.90503000812254,106.60254830328172,2443700.0
2023-11-07,104.06787872314452,106.48463399213738,102.78090934088644,104.2741862771133,2699200.0
2023-11-08,103.0167007446289,104.60822598951474,102.14234636495456,104.0973627031307,1524700.0
2023-11-09,102.28971099853516,103.7338640494204,101.61183788618504,103.4980850302342,1729100.0
2023-11-10,103.56686401367188,103.92053632352496,100.92415549790596,102.73180730801676,1965900.0
2023-11-13,103.95982360839844,106.61235816984204,103.88122810406296,104.67699446871993,1702200.0
2023-11-14,106.17027282714844,107.24111597433206,105.23697556181438,105.551350087585,1909700.0
2023-11-15,108.55756378173828,109.09789854527992,106.17027950012051,106.17027950012051,3648600.0
2023-11-16,109.58910369873048,110.01154517560369,108.39054846224,108.8129899391132,2300700.0
2023-11-17,109.70699310302734,110.67959566048592,109.37297343339692,110.37503993756846,2991400.0
2023-11-20,110.52240753173828,110.66977224083668,109.3827951096764,109.657879397791,1345100.0
2023-11-21,110.91536712646484,111.25921308506692,110.3848587209303,110.99396262993952,1629300.0
2023-11-22,111.82902526855467,112.78197518751836,111.2100950144384,111.8191989562709,1246200.0
2023-11-24,111.43605041503906,112.16304009177522,111.2297428376658,111.79954900104704,605500.0
2023-11-27,111.8388442993164,112.02550675666446,110.8564229369038,111.09220946048455,1301400.0
2023-11-28,111.1020278930664,111.77007471700658,110.72871047494225,111.69148670469843,1212800.0
2023-11-29,111.91744232177734,112.93916146107642,111.27886692280538,111.50482713916053,1311200.0
2023-11-30,114.2654266357422,114.4422627813634,111.58342050498068,112.12374775889867,2678200.0
2023-12-01,115.89625549316406,116.08291796044968,113.8626434645154,115.24785376171754,1503100.0
2023-12-04,114.8352279663086,116.78042548581224,114.58962263530096,115.23802430689544,1534000.0
2023-12-05,113.78404235839844,114.31455079569628,112.62478484621728,114.31455079569628,1028400.0
2023-12-06,114.08858489990234,114.5404978065066,113.26335459095888,114.31454510084438,1385800.0
2023-12-07,115.22820281982422,115.52292473220608,113.55808200187288,114.51103192532932,1141300.0
2023-12-08,115.23802185058594,115.68993475057384,114.70751344748368,115.24784066701544,1357900.0
2023-12-11,115.90607452392578,116.190970120447,114.90400054651704,115.11030813121177,2066300.0
2023-12-12,115.38538360595705,116.23026655959816,114.8941729350159,116.23026655959816,2051300.0
2023-12-13,115.82748413085938,116.0730894799514,114.45209267688789,115.27732305210252,2301300.0
2023-12-14,116.44639587402344,118.21475721797084,116.34815524275518,116.9965494053494,2049000.0
2023-12-15,116.60358428955078,116.88848736059448,115.24783812422017,115.92571120688548,4073900.0
2023-12-18,116.71166229248048,117.21269179688986,116.13202978396102,116.7509525516151,2075000.0
2023-12-19,117.86107635498048,117.91019291939324,116.42674225626963,116.62322350447911,1508900.0
2023-12-20,117.89056396484376,118.33265058159984,117.00638323605138,118.26388138576488,3205400.0
