Date,Close_STZ,High_STZ,Low_STZ,Open_STZ,Volume_STZ
1992-03-17,1.3301454782485962,1.3571078810318298,1.3301454782485962,1.3571078810318298,156000.0
1992-03-18,1.3840701580047607,1.3840701580047607,1.339132275566015,1.348120016619196,618000.0
1992-03-19,1.411033034324646,1.42001995558225,1.3840706248969612,1.4020452902396057,984000.0
1992-03-20,1.429007649421692,1.429007649421692,1.3930574971730167,1.3930574971730167,260400.0
1992-03-23,1.4379949569702148,1.4649573572707366,1.4379949569702148,1.4379949569702148,658800.0
1992-03-24,1.4739441871643066,1.500906585849185,1.4379948708025412,1.4379948708025412,230400.0
1992-03-25,1.482932448387146,1.4919201920471097,1.464957783894616,1.464957783894616,388800.0
1992-03-26,1.4739441871643066,1.4829319276683022,1.4739441871643066,1.4739441871643066,116400.0
1992-03-27,1.4649578332901,1.4739447544256876,1.4649578332901,1.4739447544256876,219600.0
1992-03-30,1.4559699296951294,1.4739445928229948,1.4559699296951294,1.4649576726727296,128400.0
1992-03-31,1.4559699296951294,1.4559699296951294,1.4469821867175294,1.4559699296951294,81600.0
1992-04-01,1.4559699296951294,1.4649576726727296,1.4379952665672642,1.4559699296951294,865200.0
1992-04-02,1.4469822645187378,1.4649577514404422,1.4469822645187378,1.4649577514404422,146400.0
1992-04-03,1.4379949569702148,1.4649573572707366,1.4379949569702148,1.4649573572707366,135600.0
1992-04-06,1.4379949569702148,1.4559696162281768,1.411032556669693,1.4559696162281768,92400.0
1992-04-07,1.4379949569702148,1.4559696162281768,1.4379949569702148,1.4379949569702148,198000.0
1992-04-08,1.3930572271347046,1.42001963038781,1.3750825659083834,1.42001963038781,49200.0
1992-04-09,1.4469822645187378,1.473944672073915,1.384070528774909,1.4020451928692348,142800.0
1992-04-10,1.4559699296951294,1.4649576726727296,1.4559699296951294,1.4649576726727296,67200.0
1992-04-13,1.5997694730758667,1.5997694730758667,1.4649574619410244,1.4649574619410244,316800.0
1992-04-14,1.6357189416885376,1.6806568313379848,1.5638194702076285,1.5817941323710332,472800.0
1992-04-15,1.617744207382202,1.6447066108385722,1.6087564652876607,1.6447066108385722,226800.0
1992-04-16,1.5728070735931396,1.599769475867152,1.545844671319127,1.599769475867152,55200.0
1992-04-20,1.4919201135635376,1.5817942541256882,1.4379953000953054,1.5817942541256882,132000.0
1992-04-21,1.536857008934021,1.536857008934021,1.4829322016030029,1.4829322016030029,224400.0
1992-04-22,1.5458449125289917,1.5548318328044812,1.5098947629449957,1.518882506047831,70800.0
1992-04-23,1.5548317432403564,1.5548317432403564,1.5278693383123312,1.5458448234825473,230400.0
1992-04-24,1.5907814502716064,1.5907814502716064,1.5548313127129418,1.5548313127129418,72000.0
1992-04-27,1.5728070735931396,1.5728070735931396,1.5728070735931396,1.5728070735931396,1200.0
1992-04-28,1.5728070735931396,1.5728070735931396,1.5638193318927294,1.5728070735931396,159600.0
1992-04-29,1.5817939043045044,1.5817939043045044,1.5638192447327257,1.572806985932201,142800.0
1992-04-30,1.6357189416885376,1.6536944266792326,1.5817941323710332,1.5817941323710332,414000.0
1992-05-01,1.680656671524048,1.680656671524048,1.6177441256935607,1.6357187861477518,484800.0
1992-05-04,1.680656671524048,1.680656671524048,1.6536942694291552,1.6716689298833465,159600.0
1992-05-05,1.680656671524048,1.680656671524048,1.680656671524048,1.680656671524048,0.0
1992-05-06,1.7435684204101562,1.797493225400442,1.7435684204101562,1.797493225400442,187200.0
1992-05-07,1.7435684204101562,1.752556162184279,1.7435684204101562,1.7435684204101562,406800.0
1992-05-08,1.7435684204101562,1.7435684204101562,1.725593759689136,1.7435684204101562,24000.0
1992-05-11,1.7255939245224,1.7435685869604072,1.7255939245224,1.7255939245224,189600.0
1992-05-12,1.7345818281173706,1.7345818281173706,1.7255940846506883,1.7255940846506883,260400.0
1992-05-13,1.707619309425354,1.743568635298005,1.707619309425354,1.743568635298005,292800.0
