Date,Close_FRT,High_FRT,Low_FRT,Open_FRT,Volume_FRT
2023-10-16,82.25111389160156,82.57240590998408,81.11281916777176,82.00326204988954,423600.0
2023-10-17,83.24254608154297,84.20642926556984,81.80131569441699,81.80131569441699,630600.0
2023-10-18,81.58099365234375,82.98550380024867,81.47083338448499,82.60912813779524,329900.0
2023-10-19,80.44268798828125,82.46225077908937,80.35089127134465,81.12199910162137,574500.0
2023-10-20,80.13057708740234,81.35149372312156,80.01124205673554,80.82824473690484,776200.0
2023-10-23,78.79949951171875,80.4426866306214,78.69852802734101,79.50634892784603,476600.0
2023-10-24,80.45187377929688,80.67218731167657,79.16669866707367,79.38701920309428,650900.0
2023-10-25,78.68017578125,80.30500659187149,78.57001550478095,79.81847062353097,391200.0
2023-10-26,80.80989074707031,81.15872811489103,79.21260528505552,79.21260528505552,594800.0
2023-10-27,79.54307556152344,81.4616529844966,79.36865688538369,81.4616529844966,706500.0
2023-10-30,80.54366302490234,81.06691199301267,79.65322020114753,80.31416774057956,481900.0
2023-10-31,83.71070861816406,84.4818094713159,81.01184162485099,81.10363834494419,1148000.0
2023-11-01,84.17887115478516,84.3716533652169,83.14155494577348,83.7841389684107,623400.0
2023-11-02,85.78533935546875,86.29941358405331,85.12439878210117,85.39060716384664,655000.0
2023-11-03,87.66720581054688,89.82446025960704,87.62130394845674,87.68556235319842,1172800.0
2023-11-06,86.44628143310547,87.3367242508373,85.41814704862352,87.226563993797,777800.0
2023-11-07,85.41815185546875,86.34530780741551,85.21619487468332,86.34530780741551,547700.0
2023-11-08,85.72108459472656,85.91385981227174,85.39061079218027,85.41815611209327,408300.0
2023-11-09,84.02281951904297,86.13417911577014,83.71070926757663,86.13417911577014,659300.0
2023-11-10,84.96833801269531,84.96833801269531,83.83922505365973,84.35329228680499,794900.0
2023-11-13,83.67400360107422,84.71132003189024,83.26090778078525,84.32576953586752,735800.0
2023-11-14,86.95118713378906,88.47503240217772,85.94140913613761,86.09746427137692,2030700.0
2023-11-15,86.55645751953125,87.33674022292035,86.1158234144274,86.71251265948077,986200.0
2023-11-16,84.94998168945312,86.60234365895904,84.84900319644744,86.29023341049843,905100.0
2023-11-17,84.94998168945312,86.21679323310507,84.34411073141906,86.21679323310507,1367000.0
2023-11-20,84.8031005859375,85.24373464276651,84.08707637177598,85.08767951991403,643800.0
2023-11-21,84.28904724121094,84.65624118178404,83.38942243698894,84.04119535841818,544700.0
2023-11-22,84.5368881225586,84.8949072456659,84.2706797290198,84.8949072456659,405100.0
2023-11-24,84.55525207519531,84.94998428619981,83.90348623909786,84.42673526264883,856500.0
2023-11-27,86.01483917236328,86.62989192439898,84.10544352068494,85.12440325483898,1069600.0
2023-11-28,86.32696533203125,86.57481721015591,85.17030689228538,85.7486396139792,566600.0
2023-11-29,86.58399200439453,87.79572698522846,86.31777659904542,87.07970272432311,653600.0
2023-11-30,87.74983215332031,87.85081066011921,86.51055875600136,86.51974053033992,975600.0
2023-12-01,89.87954711914062,89.99888215975876,87.3826370105067,87.6029505484329,722700.0
2023-12-04,91.70632934570312,91.90828634364202,89.42973273753906,89.52152946288186,662400.0
2023-12-05,91.58697509765624,91.67877881440955,90.46704399185276,91.2197882452041,836700.0
2023-12-06,90.92604064941406,92.44988579931903,90.67818180340808,92.03679706083008,418300.0
2023-12-07,90.88932037353516,91.44010769159812,90.21919101740404,90.96275354660702,565600.0
2023-12-08,90.99029541015624,91.15553229966416,89.8978955848738,90.57719968456618,368200.0
